Method,Area
Manual,2779
Manual,1237
Manual,3054
Manual,4279
Manual,5255
Manual,542
Manual,33
Manual,5806
Manual,7251
Manual,8210
Manual,4905
Manual,3519
Manual,2310
Manual,1862
Manual,2229
Manual,335
Manual,1050
Manual,1328
Manual,1844
Manual,2297
Manual,2581
Ilastik,348
Ilastik,806
Ilastik,83
Ilastik,30
Ilastik,1772
Ilastik,60
Ilastik,2380
Ilastik,4093
Ilastik,3
Ilastik,237
Ilastik,787
Ilastik,75
Ilastik,1
Ilastik,2720
Ilastik,455
Ilastik,3313
Ilastik,356
Ilastik,402
Ilastik,47
Ilastik,4209
Ilastik,3
Ilastik,5
Ilastik,733
Ilastik,8
Ilastik,144
Ilastik,101
Ilastik,13
Ilastik,222
Ilastik,39
Ilastik,8033
Ilastik,4991
Ilastik,1462
Ilastik,5
Ilastik,12
Ilastik,118
Ilastik,82
Ilastik,308
Ilastik,49
Ilastik,168
Ilastik,41
Ilastik,29
Ilastik,5
Ilastik,50
Ilastik,845
Ilastik,893
Ilastik,453
Ilastik,187
Connected,596
Connected,1179
Connected,253
Connected,3032
Connected,45
Connected,218
Connected,8591
Connected,3038
Connected,230
Connected,1435
Connected,359
Connected,75
Connected,2310
Connected,4582
Connected,5672
Connected,1449
Connected,1203
Connected,763
Connected,6027
Connected,740
Connected,70
Connected,134
Connected,2322
Connected,607
Connected,1169
Connected,1510
Connected,473
Connected,1743
Connected,14210
Connected,63
Connected,353
Connected,8661
Connected,4514
Connected,547
Connected,2882
Connected,2597
Connected,1477
Connected,2433
Connected,3085
Connected,4447
Connected,4486
Connected,9728
Connected,2011
Connected,9163
Connected,2472
Connected,4476
Connected,1240
